event,event_name,type,type_label,bucket,total,high,alert,high_pct,alert_pct,avg_prob
E004,Bão Bualoi,event,Sự kiện thật,day_3,6396,809,2596,12.6,40.6,33.4
E004,Bão Bualoi,neg_before,Control trước,overall,1066,290,906,27.2,85.0,50.6
E004,Bão Bualoi,neg_before,Control trước,day_1,1066,136,593,12.8,55.6,36.5
E004,Bão Bualoi,neg_before,Control trước,day_2,1066,262,735,24.6,68.9,46.1
E004,Bão Bualoi,neg_before,Control trước,day_3,1066,68,572,6.4,53.7,36.8
E004,Bão Bualoi,neg_after,Control sau,overall,1066,471,861,44.2,80.8,57.0
E004,Bão Bualoi,neg_after,Control sau,day_1,1066,384,714,36.0,67.0,46.1
E004,Bão Bualoi,neg_after,Control sau,day_2,1066,191,823,17.9,77.2,47.2
E004,Bão Bualoi,neg_after,Control sau,day_3,1066,291,784,27.3,73.5,49.1
E004,Bão Bualoi,neg_spatial,Control vùng khác,overall,4110,778,2654,18.9,64.6,44.7
E004,Bão Bualoi,neg_spatial,Control vùng khác,day_1,4110,723,2169,17.6,52.8,38.2
E004,Bão Bualoi,neg_spatial,Control vùng khác,day_2,4110,115,1490,2.8,36.3,30.4
E004,Bão Bualoi,neg_spatial,Control vùng khác,day_3,4110,178,1517,4.3,36.9,31.4
E005,Bão Matmo,event,Sự kiện thật,overall,3638,773,3043,21.2,83.6,46.2
E005,Bão Matmo,event,Sự kiện thật,day_1,3638,392,2109,10.8,58.0,40.7
E005,Bão Matmo,event,Sự kiện thật,day_2,3638,372,1907,10.2,52.4,36.4
E005,Bão Matmo,event,Sự kiện thật,day_3,3638,84,940,2.3,25.8,25.8
E005,Bão Matmo,neg_before,Control trước,overall,1819,949,1617,52.2,88.9,59.5
E005,Bão Matmo,neg_before,Control trước,day_1,1819,623,1254,34.2,68.9,48.5
E005,Bão Matmo,neg_before,Control trước,day_2,1819,623,1567,34.2,86.1,53.8
E005,Bão Matmo,neg_before,Control trước,day_3,1819,409,1617,22.5,88.9,49.7
E005,Bão Matmo,neg_after,Control sau,overall,1819,65,953,3.6,52.4,35.0
E005,Bão Matmo,neg_after,Control sau,day_1,1819,7,398,0.4,21.9,20.5
E005,Bão Matmo,neg_after,Control sau,day_2,1819,0,424,0.0,23.3,23.0
E005,Bão Matmo,neg_after,Control sau,day_3,1819,64,625,3.5,34.4,29.9
E005,Bão Matmo,neg_spatial,Control vùng khác,overall,3638,773,3043,21.2,83.6,46.2
E005,Bão Matmo,neg_spatial,Control vùng khác,day_1,3638,392,2109,10.8,58.0,40.7
E005,Bão Matmo,neg_spatial,Control vùng khác,day_2,3638,372,1907,10.2,52.4,36.4
